animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
,,,,,201006,54,17,Chronic window & headplate surgery,,,,,"brain damages around the injection site, poor quality window ",,,,,,,,,,,,
,,,,,201008,56,,Imaging test ,,,,,"headplate detached from animal skull, animal was fixed, big hematome around the injection site, sparse viral expression in simplex, jGCAMP7f infected only PC",,,,,,,,,,,,
200824_f20,B6-Pv-Cre,female #20,B6-Pv-Cre,200824,200921,30,15,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.46 mm (descending 200um from brain surface), looks deeper and more anterior",,,,,,,,,,,,
,,,,,200923,32,,Habituation 1 ,,,,,"9:10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2 pm : 5 min free walking, 20 min head-fixed on setup 1",,,,,,,,,,,,
,,,,,200924,33,,Habituation 3,,,,,9:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,200925,34,,locomotion recording with saline infusion,,behaviorPC,2020.09.25_000,locomotion_recording_setup2_000,0.4ul saline infusion at 9:45am recording went well ,,,,,,,,,,,,
,,,,,200928,37,,locomotion recording with saline infusion,,behaviorPC,2020.09.28_000,locomotion_recording_setup2_000,0.4ul saline infusion at 9:30am recording went well ,,,,,,,,,,,,
,,,,,200929,38,,locomotion recording with saline infusion,,behaviorPC,2020.09.29_000,locomotion_recording_setup2_000,0.4ul saline infusion at 9:30am recording went well ,,,,,,,,,,,,
,,,,,200930,39,,locomotion recording with saline infusion,,behaviorPC,2020.09.30_000,locomotion_recording_setup2_000,0.4ul saline infusion at 9:30am recording went well ,,,,,,,,,,,,
,,,,,201001,40,,locomotion recording with saline infusion,,behaviorPC,2020.10.01_000,locomotion_recording_setup2_000,0.4ul saline infusion at 10:30am recording went well ,,,,,,,,,,,,
,,,,,201002,41,,locomotion recording with saline infusion,,behaviorPC,2020.10.02_000,locomotion_recording_setup2_000,0.4ul saline infusion at 10:00am recording went well ,,,,,,,,,,,,
,,,,,201005,42,,locomotion recording with saline infusion,,behaviorPC,2020.10.05_000,locomotion_recording_setup2_000,0.4ul saline infusion at 9:30am recording went well ,,,,,,,,,,,,
,,,,,201006,43,,locomotion recording with saline infusion,,behaviorPC,2020.10.06_000,locomotion_recording_setup2_000,0.4ul saline infusion at 10:00am recording went well ,,,,,,,,,,,,
,,,,,201007,44,,saline + bids (1/10) infusion,,,,,animal was fixated 30 min after saline + green bids infusion (0.4µl infused at 0.2µl/min),,,,,,,,,,,,
200824_f21,B6-Pv-Cre,female #21,B6-Pv-Cre,200824,200921,30,13.3,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.32 mm (descending 200um from brain surface)",,,,,,,,,,,,
,,,,,200923,32,,Habituation 1 ,,,,,"9:10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2 pm : 5 min free walking, 20 min head-fixed on setup 1",,,,,,,,,,,,
,,,,,200924,33,,Habituation 3,,,,,9:20 a.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,200925,34,,locomotion recording with saline infusion,,behaviorPC,2020.09.25_001,locomotion_recording_setup2_000,0.4ul saline infusion at 10:25am recording went well ,,,,,,,,,,,,
,,,,,200928,37,,locomotion recording with saline infusion,,behaviorPC,2020.09.28_001,locomotion_recording_setup2_000,0.4ul saline infusion at 9:55am recording went well ,,,,,,,,,,,,
,,,,,200929,38,,locomotion recording with saline infusion,,behaviorPC,2020.09.29_001,locomotion_recording_setup2_000,0.4ul saline infusion at 9:50am recording went well ,,,,,,,,,,,,
,,,,,200930,39,,locomotion recording with saline infusion,,behaviorPC,2020.09.30_001,locomotion_recording_setup2_000,0.4ul saline infusion at 11:00am recording went well ,,,,,,,,,,,,
,,,,,201001,40,,locomotion recording with saline infusion,,behaviorPC,2020.10.01_001,locomotion_recording_setup2_000,0.4ul saline infusion at 11:00am recording went well ,,,,,,,,,,,,
,,,,,201002,41,,locomotion recording with saline infusion,,behaviorPC,2020.10.02_001,locomotion_recording_setup2_000,0.4ul saline infusion at 10:30am recording went well ,,,,,,,,,,,,
,,,,,201005,42,,locomotion recording with saline infusion,,behaviorPC,2020.10.05_001,locomotion_recording_setup2_000,0.4ul saline infusion at 10:00am recording went well ,,,,,,,,,,,,
,,,,,201006,43,,locomotion recording with saline infusion,,behaviorPC,2020.10.06_001,locomotion_recording_setup2_000,0.4ul saline infusion at 10:40am recording went well ,,,,,,,,,,,,
,,,,,201007,44,,saline + bids (1/10) infusion,,,,,animal was fixated 30 min after saline + green bids infusion (0.4µl infused at 0.2µl/min),,,,,,,,,,,,
200824_f22,B6-Pv-Cre,female #22,B6-Pv-Cre,200824,200921,30,15.6,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.33 mm (descending 200um from brain surface) looks a bit lateral",,,,,,,,,,,,
,,,,,200923,32,,Habituation 1 ,,,,,"9:10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2 pm : 5 min free walking, 20 min head-fixed on setup 1",,,,,,,,,,,,
,,,,,200924,33,,Habituation 3,,,,,9:50 a.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2:30 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,200925,34,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.25_002,locomotion_recording_setup2_000,0.4ul muscimol infusion at 11 am ,,,,,,,,,,,,
,,,,,200928,37,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.28_002,locomotion_recording_setup2_000,0.4ul muscimol at 10:30pm recording went well ,,,,,,,,,,,,
,,,,,200929,38,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.29_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 10:30am recording went well ,,,,,,,,,,,,
,,,,,200930,39,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.30_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 10:30am recording went well ,,,,,,,,,,,,
,,,,,201001,40,,locomotion recording with muscimol infusion,,behaviorPC,2020.10.01_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 12:30am recording went well ,,,,,,,,,,,,
,,,,,201002,41,,locomotion recording with muscimol infusion,,behaviorPC,2020.10.02_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 11:30am recording went well ,,,,,,,,,,,,
,,,,,201005,42,,locomotion recording with muscimol infusion,,behaviorPC,2020.10.05_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 10:30am recording went well ,,,,,,,,,,,,
,,,,,201006,43,,locomotion recording with muscimol infusion,,behaviorPC,2020.10.06_002,locomotion_recording_setup2_000,0.4ul muscimolinfusion at 11:30am recording went well ,,,,,,,,,,,,
,,,,,201007,44,,muscimol + bids (1/10) infusion,,,,,animal was fixated 30 min after muscimol + green bids infusion (0.4µl infused at 0.2µl/min),,,,,,,,,,,,
200622_m44,GCaMP6f-Tigre,male #44,P6F-Tigre / Pv-Cre,200622,200930,101,,Chronic window & headplate surgery,,,,,dead (anal probe got out and the animal was heating too much),,,,,,,,,,,,
200622_m59,GCaMP6f-Tigre,male #59,P6F-Tigre / Pv-Cre,200622,201002,103,,Chronic window & headplate surgery,,,,,surgery went well,,,,,,,,,,,,
,,,,,201005,106,,imaging session on mesh,,2photonPC,2020.10.05_000,"locomotionTriggerSIAndMotor60sec_000, animal59_00001",forced locomotion at 820 nm ,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, animal59_00002",forced locomotion at 910 nm,,,,,,,,,,,,
,,,,,201014,115,,Habituation 1 ,,,,,"11:20 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"5 pm : 5 min free walking, 20 min head-fixed ",,,,,,,,,,,,
,,,,,201015,116,,Habituation 3,,,,,9:50 a.m : 30 min head-fixed motorized  ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,4:30 p.m : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,201016,117,,locomotion recording with motorization,,,,,liquid around cranial window which was opaque,,,,,,,,,,,,
,,,,,201019,120,,cranial window repair surgery,,,,,"too much bleeding and damages, animal was sacrified",,,,,,,,,,,,
200622_m64,GCaMP6f-Tigre,male #64,P6F-Tigre / Pv-Cre,200622,201002,103,,Chronic window & headplate surgery,,,,,surgery went well,,,,,,,,,,,,
,,,,,201005,106,,imaging session on mesh,,,,,"animal was injured and weak, damages on brain surface, didn't see any cells, animal sacrified",,,,,,,,,,,,
201007_t00,PMT power-supply test,test,test,201007,201007,0,,test of different PMT power supplies,,2photonPC,2020.10.07_000,locomotionTriggerSIAndMotor30sec_000,failed test,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor30sec_000, file_00001.tif",first working test of raw PMT signal recording,,,,,,,,,,,,
