animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d6-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211125,59,,locomotion recording with motorization,,,2021.11.25_004,"locomotionTriggerSIAndMotor60sec_000, f97-d7-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d7-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211126,60,,locomotion recording with motorization,,,2021.11.26_004,"locomotionTriggerSIAndMotor60sec_000, f97-d8-910_00001-5.tif","910nm, started using ScanImage motion correction to find same FOV",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d8-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211129,63,,locomotion recording with motorization,,,2021.11.29_003,"locomotionTriggerSIAndMotor60sec_000, f97-d9-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d9-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211130,64,,locomotion recording with motorization,,,2021.11.30_003,"locomotionTriggerSIAndMotor60sec_000, f97-d10-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d10-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211201,65,,locomotion recording with motorization,,,2021.12.01_002,"locomotionTriggerSIAndMotor60sec_000, f97-d11-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d11-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211202,66,,locomotion recording with motorization,,,2021.12.02_002,"locomotionTriggerSIAndMotor60sec_000, f97-d12-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d12-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211203,67,,locomotion recording with motorization,,,2021.12.03_002,"locomotionTriggerSIAndMotor60sec_000, f97-d13-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d13-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211206,70,,locomotion recording with motorization,,,2021.12.06_001,"locomotionTriggerSIAndMotor60sec_000, f97-d14-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d14-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211207,71,,locomotion recording with motorization,,,2021.12.07_001,"locomotionTriggerSIAndMotor60sec_000, f97-d15-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d15-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211208,72,,locomotion recording with motorization,,,2021.12.08_001,"locomotionTriggerSIAndMotor60sec_000, f97-d16-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d16-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211209,73,,locomotion recording with motorization,,,2021.12.09_001,"locomotionTriggerSIAndMotor60sec_000, f97-d17-910_00001-5.tif","910nm,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f97-d17-820_00001.tif",820nm,,,,,,,,,,,,
210906_f98,B6-PV Cre ,female #98,B6-PV Cre,210906,211028,53,,virus injection in simplex  ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) + AAV-9/2-hSyn1-FLEX-tdTomato-WPRE-bGHp (1/3) 0.7µl: AP=-6 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,211112,68,,Chronic window & headplate surgery,,,,,Everything went fine,,,,,,,,,,,,
,,,,,211115,71,,Habituation 1 ,,,,,"1:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,211116,72,,Habituation 3,,,,,2:30 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,5:30 pm : 30 min head-fixed motorized  checked cells ,,,,,,,,,,,,
,,,,,211117,73,,locomotion recording with motorization,,,2021.11.17_006,"locomotionTriggerSIAndMotor60sec_000, f98-d1-910_00001-5.tif",910nm some movement,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d1-820_00001.tif",820nm,,,,,,,,,,,,
,,,,,211118,52,,locomotion recording with motorization,,,2021.11.18_006,"locomotionTriggerSIAndMotor60sec_000, f98-d2-910_00001-5.tif","910nm, movement significantly reduced after wheel and stage adjustment,",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d2-820_00001.tif",820nm movement significantly reduced after wheel and stage adjustment,,,,,,,,,,,,
,,,,,211119,53,,locomotion recording with motorization,,,2021.11.19_006,"locomotionTriggerSIAndMotor60sec_000, f98-d3-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d3-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211122,56,,locomotion recording with motorization,,,2021.11.22_006,"locomotionTriggerSIAndMotor60sec_000, f98-d4-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d4-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211123,57,,locomotion recording with motorization,,,2021.11.23_006,"locomotionTriggerSIAndMotor60sec_000, f98-d5-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d5-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211124,58,,locomotion recording with motorization,,,2021.11.24_006,"locomotionTriggerSIAndMotor60sec_000, f98-d6-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d6-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211125,59,,locomotion recording with motorization,,,2021.11.25_005,"locomotionTriggerSIAndMotor60sec_000, f98-d7-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d7-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211126,60,,locomotion recording with motorization,,,2021.11.26_005,"locomotionTriggerSIAndMotor60sec_000, f98-d8-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,211129,63,,locomotion recording with motorization,,,2021.11.29_004,"locomotionTriggerSIAndMotor60sec_000, f98-d9-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d9-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211130,64,,locomotion recording with motorization,,,2021.11.30_004,"locomotionTriggerSIAndMotor60sec_000, f98-d10-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d10-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211201,65,,locomotion recording with motorization,,,2021.12.01_003,"locomotionTriggerSIAndMotor60sec_000, f98-d11-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d11-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211202,66,,locomotion recording with motorization,,,2021.12.02_003,"locomotionTriggerSIAndMotor60sec_000, f98-d12-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d12-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211203,67,,locomotion recording with motorization,,,2021.12.03_003,"locomotionTriggerSIAndMotor60sec_000, f98-d13-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d13-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211206,70,,locomotion recording with motorization,,,2021.12.06_002,"locomotionTriggerSIAndMotor60sec_000, f98-d14-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d14-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211207,71,,locomotion recording with motorization,,,2021.12.07_002,"locomotionTriggerSIAndMotor60sec_000, f98-d15-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d15-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211208,72,,locomotion recording with motorization,,,2021.12.08_002,"locomotionTriggerSIAndMotor60sec_000, f98-d16-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d16-820_00001.tif",820nm ,,,,,,,,,,,,
,,,,,211209,73,,locomotion recording with motorization,,,2021.12.09_002,"locomotionTriggerSIAndMotor60sec_000, f98-d17-910_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, f98-d17-820_00001.tif",820nm ,,,,,,,,,,,,
211020_f74,B6-PV Cre ,female #74,B6-PV Cre,210906,211208,49,,virus injection in simplex  ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) + AAV-9/2-hSyn1-FLEX-tdTomato-WPRE-bGHp (1/3) 0.7µl: AP=-6 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,220111,82,,Chronic window & headplate surgery,,,,,Everything went fine,,,,,,,,,,,,
,,,,,220113,84,,Habituation 1 ,,,,,"1:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,220114,85,,Habituation 3,,,,,2:30 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,5:30 pm : 30 min head-fixed motorized  checked cells ,,,,,,,,,,,,
,,,,,220117,88,,parallel fiber electrical stimulation experiment,,,2022.01.17_000,"locomotionTriggerSIAndStimulator_000, animalf74_00001.tif","single run @910nm, 1 sec 100 Hz stim, 40 V, ",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001,  _2-6.tif","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V, location A",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002,  _7-11.tif","5 repetitions @820nm, 1 sec 100 Hz stim, 40 V",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003, _12-16.tif ","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V, new location B",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_004, _17-21.tif ","5 repetitions @820nm, 1 sec 100 Hz stim, 40 V, new location B",,,,,,,,,,,,
,,,,,220118,89,,parallel fiber electrical stimulation experiment,,,2022.01.18_000,"locomotionTriggerSIAndStimulator_000, animalf74_00001-5.tif","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V, location C",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001,  _6-10.tif","5 repetitions @820nm, 1 sec 100 Hz stim, 40 V",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002,  _11-15.tif","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V, new location D",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003,  _16-20.tif","5 repetitions @820nm, 1 sec 100 Hz stim, 40 V, new location D",,,,,,,,,,,,
,,,,,220119,90,,parallel fiber electrical stimulation experiment,,,2022.01.19_000,"locomotionTriggerSIAndStimulator_000, animalf74_00001-5.tif","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V MOTORIZED",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001,  _6-10.tif","5 repetitions @910nm, 1 sec 100 Hz stim, 40 V new location E",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002,  _11-15.tif","5 repetitions @820nm, 1 sec 100 Hz stim, 40 V new location E",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003,  _16-25.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 40 V, new location F",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_004,  _26-35.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 40 V, new location F",,,,,,,,,,,,
211020_f75,B6-PV Cre ,female #75,B6-PV Cre,210906,211208,49,,virus injection in simplex  ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) + AAV-9/2-hSyn1-FLEX-tdTomato-WPRE-bGHp (1/3) 0.7µl: AP=-6 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,220111,82,,Chronic window & headplate surgery,,,,,Everything went fine,,,,,,,,,,,,
,,,,,220113,84,,Habituation 1 ,,,,,"1:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,220114,85,,Habituation 3,,,,,2:30 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,5:30 pm : 30 min head-fixed motorized  checked cells ,,,,,,,,,,,,
211020_f77,B6-PV Cre ,female #77,B6-PV Cre,210906,211208,49,,virus injection in simplex  ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) + AAV-9/2-hSyn1-FLEX-tdTomato-WPRE-bGHp (1/3) 0.7µl: AP=-6 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,220117,89,,Chronic window & headplate surgery,,,,,Everything went fine,,,,,,,,,,,,
,,,,,220119,90,,Habituation 1 ,,,,,"1:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,220120,91,,Habituation 3,,,,,2:30 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,5:30 pm : 30 min head-fixed motorized  checked cells ,,,,,,,,,,,,
,,,,,220121,92,,parallel fiber electrical stimulation experiment,,,2022.01.21_000,"locomotionTriggerSIAndStimulator_000, animalf77_00001-10.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location G",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001, animalf77_000011-21.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location G",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002, animalf77_000021-30.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location H",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003, animalf77_000031-40.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location H",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_004, animalf77_000041-50.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location I",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_005, animalf77_000051-60.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location I",,,,,,,,,,,,
211020_f15,B6-PV Cre ,female #15,B6-PV Cre,210906,211208,49,,virus injection in simplex  ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) + AAV-9/2-hSyn1-FLEX-tdTomato-WPRE-bGHp (1/3) 0.7µl: AP=-6 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,220117,89,,Chronic window & headplate surgery,,,,,Everything went fine,,,,,,,,,,,,
,,,,,220119,90,,Habituation 1 ,,,,,"1:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:00 pm : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,220120,91,,Habituation 3,,,,,2:30 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,5:30 pm : 30 min head-fixed motorized  checked cells ,,,,,,,,,,,,
,,,,,220121,92,,parallel fiber electrical stimulation experiment,,,2022.01.21_001,"locomotionTriggerSIAndStimulator_000, animalf15_00001-10.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location J",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001, animalf15_000011-21.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location J",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002, animalf15_000021-30.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location K",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003, animalf15_000031-40.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location K",,,,,,,,,,,,
,,,,,220124,95,,parallel fiber electrical stimulation experiment,,,2022.01.24_000,"locomotionTriggerSIAndStimulator_000, animalf15_00001-10.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location L",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_001, animalf15_000011-21.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location L",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_002, animalf15_000021-30.tif","10 repetitions @910nm, 1 sec 100 Hz stim, 60 V, new location M",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndStimulator_003, animalf15_000031-40.tif","10 repetitions @820nm, 1 sec 100 Hz stim, 60 V, new location M",,,,,,,,,,,,
220204_m49,,male #49,B6-PV Cre,220204,220307,32,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,220313,37,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,220314,38,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,220315,39,,locomotion recording with Muscimol infusion,B,behaviorPC,2022.03.15_006,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220316,40,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.16_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220317,41,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.17_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220318,42,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.18_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220321,45,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.21_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220322,46,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.22_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220323,47,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.23_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220324,48,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.24_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220325,49,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.25_005,locomotion_recording_setup2_000,0.4ul muscimol at 12:20 am ,,,,,,,,,,,,
,,,,,220328,52,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.28_005,locomotion_recording_setup2_000,0.4ul muscimol at 15:35 am ,,,,,,,,,,,,
220204_m50,,male #50,B6-PV Cre,220204,220307,32,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,220313,37,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,220314,38,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,220315,39,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.15_005,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220316,40,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.16_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220317,41,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.17_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220318,42,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.18_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220321,45,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.21_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220322,46,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.22_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220323,47,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.23_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220324,48,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.24_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220325,49,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.25_006,locomotion_recording_setup2_000,0.4ul muscimol at 11:50 am ,,,,,,,,,,,,
,,,,,220328,52,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.28_006,locomotion_recording_setup2_000,0.4ul muscimol at 16:15 am ,,,,,,,,,,,,
220204_m51,,male #51,B6-PV Cre,220204,220307,32,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,220313,37,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,220314,38,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,220315,39,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.15_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220316,40,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.16_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220317,41,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.17_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220318,42,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.18_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220321,45,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.21_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220322,46,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.22_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220323,47,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.23_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220324,48,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.24_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220325,49,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.25_007,locomotion_recording_setup2_000,0.4ul muscimol at 12:50 am ,,,,,,,,,,,,
,,,,,220328,52,,locomotion recording with Muscimol infusion,,behaviorPC,2022.03.28_007,locomotion_recording_setup2_000,0.4ul muscimol at 16:50 am ,,,,,,,,,,,,
220204_f52,,female #49,B6-PV Cre,220204,220308,32,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,220313,37,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,220314,38,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,behaviorPC,2022.03.14_000,locomotion_recording_setup2_000,2 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,220315,39,,locomotion recording with saline infusion,,behaviorPC,2022.03.15_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220316,40,,locomotion recording with saline infusion,,behaviorPC,2022.03.16_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220317,41,,locomotion recording with saline infusion,,behaviorPC,2022.03.17_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220318,42,,locomotion recording with saline infusion,,behaviorPC,2022.03.18_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220321,45,,locomotion recording with saline infusion,,behaviorPC,2022.03.21_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220322,46,,locomotion recording with saline infusion,,behaviorPC,2022.03.22_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
,,,,,220323,47,,locomotion recording with saline infusion,,behaviorPC,2022.03.23_000,locomotion_recording_setup2_000,0.4ul saline at 9:20 am ,,,,,,,,,,,,
